更新时间: 26/01/29-15:57:02（北京时间）

央卫频道,#genre#
CCTV8,http://117.86.48.47:7777/rtp/239.49.8.77:8000$江苏电信
CCTV8,http://171.83.38.123:1234/rtp/239.69.1.125:10388$湖北电信
CCTV8,http://183.158.217.184:8000/rtp/233.50.201.116:5140$浙江电信
CCTV8,http://183.164.63.183:5000/rtp/238.1.78.173:7256$安徽电信
CCTV8,http://116.9.34.165:4000/rtp/239.81.0.234:4056$广西电信
CCTV8,http://120.41.66.7:18888/rtp/239.61.3.37:9740$福建省电信
CCTV8,http://113.205.140.92:4022/rtp/235.254.198.57:1504$重庆市电信
CCTV8,http://114.233.64.19:4022/rtp/239.49.8.77:8000$江苏电信
CCTV8,http://113.128.68.75:4022/rtp/239.21.2.48:5002$山东电信
CCTV8,http://123.117.161.44:8118/rtp/239.3.1.175:8001$北京市联通
CCTV9,http://192.144.185.155:6000/rtp/225.1.8.9:8112$北京市电信
CCTV9,http://121.237.57.124:7000/rtp/239.49.8.53:9814$江苏电信
CCTV9,http://61.187.186.29:4000/rtp/239.76.246.159:1234$湖南电信
CCTV9,http://61.187.186.29:4000/rtp/239.76.253.159:9000$湖南电信
CCTV9,http://113.66.41.254:10000/rtp/239.77.0.135:5146$广东电信
CCTV9,http://123.112.240.132:5555/rtp/239.3.1.62:8112$北京市联通
CCTV9,http://117.86.48.47:7777/rtp/239.49.8.53:9814$江苏电信
CCTV9,http://171.83.38.123:1234/rtp/239.69.1.104:10262$湖北电信
CCTV9,http://183.158.217.184:8000/rtp/233.50.200.23:5140$浙江电信
CCTV9,http://183.164.63.183:5000/rtp/238.1.78.240:7792$安徽电信
CCTV9,http://116.9.34.165:4000/rtp/239.81.0.117:4056$广西电信
CCTV9,http://120.41.66.7:18888/rtp/239.61.2.172:9020$福建省电信
CCTV9,http://113.205.140.92:4022/rtp/235.254.198.58:1508$重庆市电信
CCTV9,http://114.233.64.19:4022/rtp/239.49.8.53:9814$江苏电信
CCTV9,http://113.128.68.75:4022/rtp/239.21.1.153:5002$山东电信
CCTV9,http://123.117.161.44:8118/rtp/239.3.1.62:8112$北京市联通
CCTV10,http://192.144.185.155:6000/rtp/225.1.8.10:8116$北京市电信
CCTV10,http://121.237.57.124:7000/rtp/239.49.8.54:9818$江苏电信
CCTV10,http://61.187.186.29:4000/rtp/239.76.253.160:9000$湖南电信
CCTV10,http://61.187.186.29:4000/rtp/239.76.246.160:1234$湖南电信
CCTV10,http://113.66.41.254:10000/rtp/239.77.0.134:5146$广东电信
CCTV10,http://123.112.240.132:5555/rtp/239.3.1.63:8116$北京市联通
CCTV10,http://117.86.48.47:7777/rtp/239.49.8.54:9818$江苏电信
CCTV10,http://171.83.38.123:1234/rtp/239.69.1.105:10268$湖北电信
CCTV10,http://183.158.217.184:8000/rtp/233.50.200.22:5140$浙江电信
CCTV10,http://183.164.63.183:5000/rtp/238.1.78.241:7800$安徽电信
CCTV10,http://116.9.34.165:4000/rtp/239.81.0.118:4056$广西电信
CCTV10,http://120.41.66.7:18888/rtp/239.61.2.176:9044$福建省电信
CCTV10,http://113.205.140.92:4022/rtp/235.254.198.59:1512$重庆市电信
CCTV10,http://114.233.64.19:4022/rtp/239.49.8.54:9818$江苏电信
CCTV10,http://113.128.68.75:4022/rtp/239.21.1.155:5002$山东电信
CCTV10,http://123.117.161.44:8118/rtp/239.3.1.63:8116$北京市联通
CCTV11,http://192.144.185.155:6000/rtp/225.1.8.73:8120$北京市电信
CCTV11,http://121.237.57.124:7000/rtp/239.49.0.127:8000$江苏电信
CCTV11,http://61.187.186.29:4000/rtp/239.76.245.251:1234$湖南电信
CCTV11,http://61.187.186.29:4000/rtp/239.76.252.251:9000$湖南电信
CCTV11,http://113.66.41.254:10000/rtp/239.77.1.108:5146$广东电信
CCTV11,http://123.112.240.132:5555/rtp/239.3.1.152:8120$北京市联通
CCTV11,http://117.86.48.47:7777/rtp/239.49.0.127:8000$江苏电信
CCTV11,http://171.83.38.123:1234/rtp/239.69.1.154:10560$湖北电信
CCTV11,http://183.158.217.184:8000/rtp/233.50.200.132:5140$浙江电信
CCTV11,http://183.164.63.183:5000/rtp/238.1.78.206:7502$安徽电信
CCTV11,http://116.9.34.165:4000/rtp/239.81.0.229:4056$广西电信
CCTV11,http://120.41.66.7:18888/rtp/239.61.2.21:8120$福建省电信
CCTV11,http://113.205.140.92:4022/rtp/235.254.198.7:1304$重庆市电信
CCTV11,http://114.233.64.19:4022/rtp/239.49.0.127:8000$江苏电信
CCTV11,http://113.128.68.75:4022/rtp/239.21.2.2:5002$山东电信
CCTV11,http://123.117.161.44:8118/rtp/239.3.1.152:8120$北京市联通
CCTV12,http://192.144.185.155:6000/rtp/225.1.8.12:8124$北京市电信
CCTV12,http://121.237.57.124:7000/rtp/239.49.8.55:9822$江苏电信
CCTV12,http://61.187.186.29:4000/rtp/239.76.246.162:1234$湖南电信
CCTV12,http://61.187.186.29:4000/rtp/239.76.253.162:9000$湖南电信
CCTV12,http://113.66.41.254:10000/rtp/239.77.0.136:5146$广东电信
CCTV12,http://123.112.240.132:5555/rtp/239.3.1.64:8124$北京市联通
CCTV12,http://117.86.48.47:7777/rtp/239.49.8.55:9822$江苏电信
CCTV12,http://171.83.38.123:1234/rtp/239.69.1.106:10274$湖北电信
CCTV12,http://183.158.217.184:8000/rtp/233.50.200.21:5140$浙江电信
CCTV12,http://183.164.63.183:5000/rtp/238.1.78.242:7808$安徽电信
CCTV12,http://116.9.34.165:4000/rtp/239.81.0.119:4056$广西电信
CCTV12,http://120.41.66.7:18888/rtp/239.61.2.177:9050$福建省电信
